"id","startDate","index","distance","elapsedTime","timePerMile"
1361109741,"2018-01-17",3,1610.7,460,459.61
1361109741,"2018-01-17",4,1608.6,472,472.22
1361109741,"2018-01-17",5,1098,307,449.97
1364628549,"2018-01-19",1,1611.3,438,437.47
1364628549,"2018-01-19",2,1611.6,450,449.37
1364628549,"2018-01-19",3,1605.4,457,458.12
1364628549,"2018-01-19",4,1609.6,415,414.93
1364628549,"2018-01-19",5,1609.6,430,429.93
1364628549,"2018-01-19",6,392.2,101,414.44
1366081623,"2018-01-20",1,1609.5,429,428.96
1366081623,"2018-01-20",2,1610.9,412,411.6
1366081623,"2018-01-20",3,1611,436,435.55
1366081623,"2018-01-20",4,1607.3,445,445.56
1366081623,"2018-01-20",5,1610.6,467,466.63
1366081623,"2018-01-20",6,634.7,168,425.98
1369223571,"2018-01-22",1,1611.4,460,459.41
1369223571,"2018-01-22",2,1610.5,474,473.66
1369223571,"2018-01-22",3,1608.3,502,502.32
1369223571,"2018-01-22",4,1610.3,480,479.71
1369223571,"2018-01-22",5,1274.3,362,457.18
1372448225,"2018-01-24",1,1609.5,479,478.95
1372448225,"2018-01-24",2,1612.8,486,484.96
1372448225,"2018-01-24",3,1607.4,466,466.56
1372448225,"2018-01-24",4,1613.9,440,438.76
1372448225,"2018-01-24",5,813.8,217,429.13
1375645303,"2018-01-26",1,1610.1,449,448.79
1375645303,"2018-01-26",2,1608.6,462,462.21
1375645303,"2018-01-26",3,1612.6,466,465.06
1375645303,"2018-01-26",4,1606.3,490,490.93
1375645303,"2018-01-26",5,1293.4,378,470.33
1378104750,"2018-01-27",1,1609.6,461,460.93
1378104750,"2018-01-27",2,1613,479,477.91
1378104750,"2018-01-27",3,1608.9,424,424.12
1378104750,"2018-01-27",4,1607.7,442,442.45
1378104750,"2018-01-27",5,1607.6,449,449.49
1378104750,"2018-01-27",6,1611.7,435,434.36
1378104750,"2018-01-27",7,1406.2,395,452.06
1380853159,"2018-01-29",1,1612.7,466,465.03
1380853159,"2018-01-29",2,1606.6,483,483.82
1380853159,"2018-01-29",3,1609.4,488,487.98
1380853159,"2018-01-29",4,1609.3,462,462.01
1380853159,"2018-01-29",5,1073,305,457.45
1384130945,"2018-01-31",1,1609.7,575,574.87
1384130945,"2018-01-31",2,1611.2,559,558.35
1384130945,"2018-01-31",3,1607.9,613,613.55
1384130945,"2018-01-31",4,1611.5,556,555.25
1384130945,"2018-01-31",5,1606.8,541,541.86
1384130945,"2018-01-31",6,35.8,11,494.49
1387364616,"2018-02-02",1,1611.9,491,490.22
1387364616,"2018-02-02",2,1608.7,507,507.2
1387364616,"2018-02-02",3,1610.4,527,526.65
1387364616,"2018-02-02",4,1608.4,501,501.29
1387364616,"2018-02-02",5,1180.9,380,517.87
1389752515,"2018-02-03",1,1612.3,456,455.16
1389752515,"2018-02-03",2,1611.4,442,441.43
1389752515,"2018-02-03",3,1607.1,473,473.66
1389752515,"2018-02-03",4,1608.6,468,468.22
1389752515,"2018-02-03",5,1610.4,452,451.7
1389752515,"2018-02-03",6,1608.2,439,439.31
1389752515,"2018-02-03",7,1047.9,279,428.48
1392420446,"2018-02-05",1,1609.4,462,461.98
1392420446,"2018-02-05",2,1610.4,481,480.68
1392420446,"2018-02-05",3,1609.1,499,499.07
1392420446,"2018-02-05",4,1611.2,467,466.46
1392420446,"2018-02-05",5,1608,458,458.38
1392420446,"2018-02-05",6,125.6,34,435.65
1395509788,"2018-02-07",1,1611.6,469,468.34
1395509788,"2018-02-07",2,1608.3,471,471.3
1395509788,"2018-02-07",3,1610.5,484,483.65
1395509788,"2018-02-07",4,1608.9,471,471.13
1395509788,"2018-02-07",5,1609.1,469,469.07
1395509788,"2018-02-07",6,208.1,55,425.34
1398638322,"2018-02-09",1,1610.6,446,445.65
1398638322,"2018-02-09",2,1611.2,465,464.46
1398638322,"2018-02-09",3,1609,472,472.1
1398638322,"2018-02-09",4,1608.6,483,483.22
1398638322,"2018-02-09",5,1610.2,450,449.76
1398638322,"2018-02-09",6,696.1,193,446.2
1401027362,"2018-02-10",1,1612.8,428,427.08
1401027362,"2018-02-10",2,1606.1,434,434.88
1401027362,"2018-02-10",3,1613.6,454,452.8
1401027362,"2018-02-10",4,1606.9,474,474.72
1401027362,"2018-02-10",5,1609,475,475.1
1401027362,"2018-02-10",6,1036.7,293,454.84
1407301564,"2018-02-14",1,1611.2,473,472.45
1407301564,"2018-02-14",2,1610.3,464,463.72
1407301564,"2018-02-14",3,1609.5,478,477.95
1407301564,"2018-02-14",4,1607.5,480,480.55
1407301564,"2018-02-14",5,1239.7,368,477.73
1409760703,"2018-02-16",1,1609.5,475,474.95
1409760703,"2018-02-16",2,1611.6,479,478.33
1409760703,"2018-02-16",3,1609.2,474,474.04
1409760703,"2018-02-16",4,1607.6,459,459.5
1409760703,"2018-02-16",5,1610.2,463,462.75
1409760703,"2018-02-16",6,28.4,10,566.67
1412557204,"2018-02-17",1,1610.2,451,450.76
1412557204,"2018-02-17",2,1610.2,460,459.75
1412557204,"2018-02-17",3,1607.9,467,467.42
1412557204,"2018-02-17",4,1610.1,468,467.78
1412557204,"2018-02-17",5,1610.7,471,470.6
1412557204,"2018-02-17",6,1607.7,445,445.45
1412557204,"2018-02-17",7,601.9,159,425.13
1415099193,"2018-02-19",1,1612.3,449,448.18
1415099193,"2018-02-19",2,1607.7,449,449.46
1415099193,"2018-02-19",3,1610.9,474,473.54
1415099193,"2018-02-19",4,1610,495,494.8
1415099193,"2018-02-19",5,1607.7,473,473.48
1415099193,"2018-02-19",6,1325,362,439.68
1418285460,"2018-02-21",1,1611.6,436,435.39
1418285460,"2018-02-21",2,1608.8,451,451.15
1418285460,"2018-02-21",3,1610.6,456,455.64
1418285460,"2018-02-21",4,1608.2,436,436.31
1418285460,"2018-02-21",5,1088.2,298,440.71
1421489521,"2018-02-23",1,1614.5,472,470.49
1421489521,"2018-02-23",2,1608.8,482,482.16
1421489521,"2018-02-23",3,1605.9,489,490.05
1421489521,"2018-02-23",4,1609.4,504,503.98
1421489521,"2018-02-23",5,1608.8,451,451.15
1421489521,"2018-02-23",6,380.3,112,473.96
1423931853,"2018-02-24",1,1611,438,437.55
1423931853,"2018-02-24",2,1609.6,447,446.93
1423931853,"2018-02-24",3,1609,466,466.1
1423931853,"2018-02-24",4,1611.2,477,476.45
1423931853,"2018-02-24",5,1607.7,470,470.48
1423931853,"2018-02-24",6,1609.3,447,447.01
1423931853,"2018-02-24",7,50.3,13,415.93
1426559929,"2018-02-26",1,1610.3,442,441.74
1426559929,"2018-02-26",2,1609.5,447,446.96
1426559929,"2018-02-26",3,1611.1,477,476.48
1426559929,"2018-02-26",4,1611.5,474,473.36
1426559929,"2018-02-26",5,1608.1,459,459.35
1426559929,"2018-02-26",6,54.7,13,382.48
1429519367,"2018-02-28",1,1613.4,459,457.84
1429519367,"2018-02-28",2,1606.2,497,497.97
1429519367,"2018-02-28",3,1609.5,492,491.95
1429519367,"2018-02-28",4,1608.5,475,475.25
1429519367,"2018-02-28",5,1401.9,393,451.15
1432233588,"2018-03-02",1,1613,481,479.91
1432233588,"2018-03-02",2,1608.1,505,505.39
1432233588,"2018-03-02",3,1608.9,484,484.13
1432233588,"2018-03-02",4,1609.6,487,486.92
1432233588,"2018-03-02",5,1610.1,492,491.77
1432233588,"2018-03-02",6,1608.4,490,490.29
1432233588,"2018-03-02",7,26.4,7,426.72
1434535396,"2018-03-03",1,1613.2,450,448.92
1434535396,"2018-03-03",2,1609,454,454.1
1434535396,"2018-03-03",3,1606.5,473,473.84
1434535396,"2018-03-03",4,1610.4,469,468.69
1434535396,"2018-03-03",5,1610.5,453,452.67
1434535396,"2018-03-03",6,1606.6,447,447.76
1434535396,"2018-03-03",7,1034.7,284,441.72
1437082313,"2018-03-05",1,1613.2,470,468.88
1437082313,"2018-03-05",2,1608.1,499,499.38
1437082313,"2018-03-05",3,1607.2,476,476.63
1437082313,"2018-03-05",4,1609.1,459,459.07
1437082313,"2018-03-05",5,1609.3,441,441.01
1437082313,"2018-03-05",6,119,33,446.29
1441000350,"2018-03-07",1,1609.4,472,471.98
1441000350,"2018-03-07",2,1611.1,490,489.46
1441000350,"2018-03-07",3,1609.6,542,541.91
1441000350,"2018-03-07",4,1610.3,513,512.69
1441000350,"2018-03-07",5,1606.4,461,461.84
1441000350,"2018-03-07",6,445.8,122,440.42
1443464551,"2018-03-09",1,1613.5,497,495.72
1443464551,"2018-03-09",2,1608.4,471,471.28
1443464551,"2018-03-09",3,1607.4,468,468.56
1443464551,"2018-03-09",4,1608.3,471,471.3
1443464551,"2018-03-09",5,1611.9,529,528.16
1443464551,"2018-03-09",6,826.4,256,498.54
1446777863,"2018-03-11",1,1611.2,447,446.48
1446777863,"2018-03-11",2,1608.8,460,460.15
1446777863,"2018-03-11",3,1610.5,495,494.64
1446777863,"2018-03-11",4,1609,472,472.1
1446777863,"2018-03-11",5,1607.8,478,478.46
1446777863,"2018-03-11",6,663.4,194,470.62
1452120577,"2018-03-14",1,1610.5,446,445.68
1452120577,"2018-03-14",2,1609,440,440.09
1452120577,"2018-03-14",3,1610.3,463,462.72
1452120577,"2018-03-14",4,1610.7,474,473.6
1452120577,"2018-03-14",5,1608.7,480,480.19
1452120577,"2018-03-14",6,1607,464,464.68
1452120577,"2018-03-14",7,1075.3,284,425.05
1455413629,"2018-03-16",1,1611.9,452,451.28
1455413629,"2018-03-16",2,1608.2,479,479.34
1455413629,"2018-03-16",3,1610.7,494,493.58
1455413629,"2018-03-16",4,1606.7,451,451.74
1455413629,"2018-03-16",5,1464.1,418,459.47
1457888518,"2018-03-17",1,1609.7,445,444.9
1457888518,"2018-03-17",2,1612.1,443,442.24
1457888518,"2018-03-17",3,1606.4,449,449.82
1457888518,"2018-03-17",4,1611.7,455,454.33
1457888518,"2018-03-17",5,1608.4,444,444.26
1457888518,"2018-03-17",6,1608,448,448.37
1457888518,"2018-03-17",7,1612.1,446,445.24
1457888518,"2018-03-17",8,30.6,9,473.34
1460431131,"2018-03-19",1,1611.3,468,467.43
1460431131,"2018-03-19",2,1609.9,486,485.83
1460431131,"2018-03-19",3,1609.1,483,483.07
1460431131,"2018-03-19",4,1610.6,465,464.64
1460431131,"2018-03-19",5,1607.9,475,475.43
1460431131,"2018-03-19",6,296.3,90,488.83
1463574259,"2018-03-21",1,1611.6,431,430.4
1463574259,"2018-03-21",2,1609.9,464,463.84
1463574259,"2018-03-21",3,1607.6,478,478.52
1463574259,"2018-03-21",4,1609.2,465,465.04
1463574259,"2018-03-21",5,1611.3,431,430.48
1463574259,"2018-03-21",6,150.7,41,437.84
1470121463,"2018-03-25",1,1609.7,445,444.9
1470121463,"2018-03-25",2,1612.2,446,445.21
1470121463,"2018-03-25",3,1607,429,429.62
1470121463,"2018-03-25",4,145.5,38,420.31
1472351779,"2018-03-26",1,1613,442,441
1472351779,"2018-03-26",2,1608.9,454,454.12
1472351779,"2018-03-26",3,1608.8,456,456.15
1472351779,"2018-03-26",4,1610.1,460,459.78
1472351779,"2018-03-26",5,433.6,119,441.68
1475714025,"2018-03-28",1,1610.6,441,440.65
1475714025,"2018-03-28",2,1608.1,430,430.33
1475714025,"2018-03-28",3,1609.7,435,434.9
1475714025,"2018-03-28",4,1609.5,428,427.96
1475714025,"2018-03-28",5,511.5,133,418.46
1479036385,"2018-03-30",1,1613,443,441.99
1479036385,"2018-03-30",2,1607.8,430,430.41
1479036385,"2018-03-30",3,1610.5,445,444.68
1479036385,"2018-03-30",4,1609.4,438,437.98
1479036385,"2018-03-30",5,475.2,121,409.79
1480863071,"2018-03-31",1,1613.1,438,436.98
1480863071,"2018-03-31",2,1608.5,445,445.23
1480863071,"2018-03-31",3,1607.5,457,457.52
1480863071,"2018-03-31",4,1609.3,458,458.01
1480863071,"2018-03-31",5,541.5,149,442.83
1485759514,"2018-04-02",1,1611.4,446,445.43
1485759514,"2018-04-02",2,1609.5,427,426.96
1485759514,"2018-04-02",3,1609.6,441,440.93
1485759514,"2018-04-02",4,1610.5,439,438.68
1485759514,"2018-04-02",5,1331,345,417.15
1488339860,"2018-04-04",1,1611.1,450,449.51
1488339860,"2018-04-04",2,1609.2,447,447.04
1488339860,"2018-04-04",3,1608.9,460,460.13
1488339860,"2018-04-04",4,1611.4,464,463.41
1488339860,"2018-04-04",5,1606.7,455,455.75
1488339860,"2018-04-04",6,203.8,54,426.42
1491974543,"2018-04-06",1,1610.7,470,469.6
1491974543,"2018-04-06",2,1608.1,471,471.36
1491974543,"2018-04-06",3,1609.3,460,460.01
1491974543,"2018-04-06",4,1609.4,441,440.98
1491974543,"2018-04-06",5,492.1,126,412.06
1493557957,"2018-04-07",1,1613.2,467,465.88
1493557957,"2018-04-07",2,1605.9,457,457.98
1493557957,"2018-04-07",3,1611,456,455.53
1493557957,"2018-04-07",4,1609.1,456,456.07
1493557957,"2018-04-07",5,1608.5,444,444.23
1493557957,"2018-04-07",6,145.7,37,408.69
1498012663,"2018-04-09",1,1609.6,468,467.92
1498012663,"2018-04-09",2,1610.3,488,487.71
1498012663,"2018-04-09",3,1608.2,483,483.34
1498012663,"2018-04-09",4,1612.7,482,481
1498012663,"2018-04-09",5,968.4,272,452.02
1504100397,"2018-04-12",1,1609.4,444,443.98
1504100397,"2018-04-12",2,1612.2,437,436.22
1504100397,"2018-04-12",3,1608.4,451,451.26
1504100397,"2018-04-12",4,1609,461,461.1
1504100397,"2018-04-12",5,1610.3,445,444.73
1504100397,"2018-04-12",6,492.9,129,421.19
1505335786,"2018-04-13",1,1610.6,446,445.65
1505335786,"2018-04-13",2,1611.8,451,450.31
1505335786,"2018-04-13",3,1608.9,450,450.12
1505335786,"2018-04-13",4,1606.3,434,434.82
1505335786,"2018-04-13",5,1405.1,364,416.91
1507019345,"2018-04-14",1,1611.8,446,445.32
1507019345,"2018-04-14",2,1607.7,460,460.47
1507019345,"2018-04-14",3,1613.4,460,458.84
1507019345,"2018-04-14",4,1606.9,456,456.69
1507019345,"2018-04-14",5,996.2,270,436.18
1511398195,"2018-04-16",1,1612.6,447,446.1
1511398195,"2018-04-16",2,1607.2,435,435.58
1511398195,"2018-04-16",3,1609.6,450,449.93
1511398195,"2018-04-16",4,1608.4,436,436.25
1511398195,"2018-04-16",5,1611.5,421,420.44
1511398195,"2018-04-16",6,277.2,71,412.2
1515178313,"2018-04-18",1,1612.3,449,448.18
1515178313,"2018-04-18",2,1607.7,442,442.45
1515178313,"2018-04-18",3,1610.8,449,448.59
1515178313,"2018-04-18",4,1608.3,432,432.28
