energyType,epochTimestamp,kWh,dateTime
gas,1672882200,0.0,2023-01-05T01:30:00Z
electricity,1672884000,0.341,2023-01-05T02:00:00Z
gas,1672884000,0.0,2023-01-05T02:00:00Z
electricity,1672885800,1.42,2023-01-05T02:30:00Z
gas,1672885800,0.0,2023-01-05T02:30:00Z
electricity,1672887600,1.295,2023-01-05T03:00:00Z
gas,1672887600,0.0,2023-01-05T03:00:00Z
electricity,1672889400,1.072,2023-01-05T03:30:00Z
gas,1672889400,0.0,2023-01-05T03:30:00Z
electricity,1672891200,0.656,2023-01-05T04:00:00Z
gas,1672891200,0.0,2023-01-05T04:00:00Z
electricity,1672893000,1.701,2023-01-05T04:30:00Z
gas,1672893000,0.0,2023-01-05T04:30:00Z
electricity,1672894800,0.327,2023-01-05T05:00:00Z
gas,1672894800,5.583,2023-01-05T05:00:00Z
electricity,1672896600,0.748,2023-01-05T05:30:00Z
gas,1672896600,1.962,2023-01-05T05:30:00Z
electricity,1672898400,0.264,2023-01-05T06:00:00Z
gas,1672898400,15.455,2023-01-05T06:00:00Z
electricity,1672900200,0.713,2023-01-05T06:30:00Z
gas,1672900200,9.794,2023-01-05T06:30:00Z
electricity,1672902000,0.399,2023-01-05T07:00:00Z
gas,1672902000,15.867,2023-01-05T07:00:00Z
electricity,1672903800,1.136,2023-01-05T07:30:00Z
gas,1672903800,11.584,2023-01-05T07:30:00Z
electricity,1672905600,1.173,2023-01-05T08:00:00Z
gas,1672905600,13.446,2023-01-05T08:00:00Z
electricity,1672907400,0.215,2023-01-05T08:30:00Z
gas,1672907400,10.959,2023-01-05T08:30:00Z
electricity,1672909200,0.709,2023-01-05T09:00:00Z
gas,1672909200,0.0,2023-01-05T09:00:00Z
electricity,1672911000,1.098,2023-01-05T09:30:00Z
gas,1672911000,0.0,2023-01-05T09:30:00Z
electricity,1672912800,1.419,2023-01-05T10:00:00Z
gas,1672912800,0.0,2023-01-05T10:00:00Z
electricity,1672914600,1.774,2023-01-05T10:30:00Z
gas,1672914600,0.0,2023-01-05T10:30:00Z
electricity,1672916400,0.904,2023-01-05T11:00:00Z
gas,1672916400,0.0,2023-01-05T11:00:00Z
electricity,1672918200,1.688,2023-01-05T11:30:00Z
gas,1672918200,0.0,2023-01-05T11:30:00Z
electricity,1672920000,1.787,2023-01-05T12:00:00Z
